"genre","count"
"British TV Shows","253"
"Children & Family Movies","641"
"Movies","57"
"International Movies","2752"
"Stand-Up Comedy","343"
"TV Comedies","581"
"Faith & Spirituality","65"
"Comedies","1674"
"International TV Shows","1351"
"Sports Movies","219"
"LGBTQ Movies","102"
"Teen TV Shows","69"
"Music & Musicals","375"
"TV Shows","16"
"Sci-Fi & Fantasy","243"
"Independent Movies","756"
"Documentaries","869"
"TV Thrillers","57"
"TV Action & Adventure","168"
"Anime Features","71"
"TV Horror","75"
"Stand-Up Comedy & Talk Shows","56"
"Reality TV","255"
"Kids' TV","451"
"Spanish-Language TV Shows","174"
"Classic Movies","116"
"Romantic TV Shows","370"
"Anime Series","176"
"Docuseries","395"
"Classic & Cult TV","28"
"Dramas","2427"
"Thrillers","577"
"TV Sci-Fi & Fantasy","84"
"Action & Adventure","859"
"TV Dramas","763"
"Science & Nature TV","92"
"Korean TV Shows","151"
"Crime TV Shows","470"
"Horror Movies","357"
"Romantic Movies","616"
"TV Mysteries","98"
"Cult Movies","71"
